time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M)
2019-03-22T09:55,32.8700707,-117.2172744,TRUE,1,0,2631.2898
2019-03-22T09:56,32.870087195045016,-117.21733783527475,TRUE,1,6.2018386,2625.4565
2019-03-22T09:57,32.870087195045016,-117.21733783527475,FALSE,1,6.2018386,2625.4565
2019-03-22T09:58,32.870087195045016,-117.21733783527475,FALSE,1,6.2018386,2625.4565
2019-03-22T09:59,32.870087195045016,-117.21733783527475,FALSE,1,6.2018386,2625.4565
2019-03-22T10:00,32.870087195045016,-117.21733783527475,FALSE,1,6.2018386,2625.4565
2019-03-22T10:01,32.870087195045016,-117.21733783527475,FALSE,1,6.2018386,2625.4565
2019-03-22T10:02,32.87003596299186,-117.21721000611215,TRUE,1,7.1475164,2638.4171
2019-03-22T10:03,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171
2019-03-22T10:04,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171
2019-03-22T10:05,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171
2019-03-22T10:06,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171
2019-03-22T10:07,32.8710556,-117.2187341,TRUE,0,174.86634,2456.5104
2019-03-22T10:08,32.8711485,-117.2180882,TRUE,0,141.91356,2498.938
2019-03-22T10:09,32.8708961,-117.2183538,TRUE,0,136.32998,2495.5712
2019-03-22T10:10,32.8710439,-117.2193418,TRUE,0,221.33733,2412.165
2019-03-22T10:11,32.8710439,-117.2193418,FALSE,0,221.33733,2412.165
2019-03-22T10:12,32.872146544807535,-117.22629692465489,TRUE,0,873.67395,1848.0555
2019-03-22T10:13,32.87183314536372,-117.23279825350329,TRUE,0,1462.9903,1533.5362
2019-03-22T10:14,32.8758202,-117.2336183,TRUE,0,1654.8378,1106.0221
2019-03-22T10:15,32.8758202,-117.2336183,FALSE,0,1654.8378,1106.0221
2019-03-22T10:16,32.877263999192735,-117.23543915984703,TRUE,0,1875.5057,882.68928
2019-03-22T10:17,32.877964,-117.2362016,TRUE,0,1973.5047,781.37024
2019-03-22T10:18,32.877964,-117.2362016,FALSE,0,1973.5047,781.37024
2019-03-22T10:19,32.8784644,-117.2372298,TRUE,0,2084.2618,692.97557
2019-03-22T10:20,32.8794473,-117.2375849,TRUE,0,2164.433,578.96728
2019-03-22T10:21,32.8801674,-117.2371254,TRUE,0,2167.2975,523.63839
2019-03-22T10:22,32.8801674,-117.2371254,FALSE,0,2167.2975,523.63839
2019-03-22T10:23,32.8810279,-117.2370274,TRUE,0,2210.7237,446.75757
2019-03-22T10:24,32.8807988,-117.2370723,TRUE,0,2200.311,465.57738
2019-03-22T10:25,32.8807988,-117.2370723,FALSE,0,2200.311,465.57738
2019-03-22T10:26,32.8807988,-117.2370723,FALSE,0,2200.311,465.57738
2019-03-22T10:27,32.8806233,-117.2371919,TRUE,0,2199.2323,476.36408
2019-03-22T10:28,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408
2019-03-22T10:29,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408
2019-03-22T10:30,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408
2019-03-22T10:31,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408
2019-03-22T10:32,32.8806431,-117.2371391,TRUE,0,2196.241,476.98619
2019-03-22T10:33,32.8806431,-117.2371391,FALSE,0,2196.241,476.98619
2019-03-22T10:34,32.8806431,-117.2371391,FALSE,0,2196.241,476.98619
2019-03-22T10:35,32.8806431,-117.2371391,FALSE,0,2196.241,476.98619
2019-03-22T10:36,32.8806431,-117.2371391,FALSE,0,2196.241,476.98619
2019-03-22T10:37,32.8806463,-117.2370951,TRUE,0,2192.9621,478.81173
2019-03-22T10:38,32.8806463,-117.2370951,FALSE,0,2192.9621,478.81173
2019-03-22T10:39,32.8806463,-117.2370951,FALSE,0,2192.9621,478.81173
2019-03-22T10:40,32.8806463,-117.2370951,FALSE,0,2192.9621,478.81173
2019-03-22T10:41,32.8806463,-117.2370951,FALSE,0,2192.9621,478.81173
2019-03-22T10:42,32.8806373,-117.237162,TRUE,0,2197.7029,476.44253
2019-03-22T10:43,32.8806373,-117.237162,FALSE,0,2197.7029,476.44253
2019-03-22T10:44,32.8806373,-117.237162,FALSE,0,2197.7029,476.44253
2019-03-22T10:45,32.8806373,-117.237162,FALSE,0,2197.7029,476.44253
2019-03-22T10:46,32.8806373,-117.237162,FALSE,0,2197.7029,476.44253
2019-03-22T10:47,32.8806103,-117.2371549,TRUE,0,2195.5388,479.36282
2019-03-22T10:48,32.8806103,-117.2371549,FALSE,0,2195.5388,479.36282
2019-03-22T10:49,32.8806103,-117.2371549,FALSE,0,2195.5388,479.36282
2019-03-22T10:50,32.8806103,-117.2371549,FALSE,0,2195.5388,479.36282
2019-03-22T10:51,32.8806103,-117.2371549,FALSE,0,2195.5388,479.36282
2019-03-22T10:52,32.8806432,-117.2371383,TRUE,0,2196.1839,477.01514
2019-03-22T10:53,32.8806432,-117.2371383,FALSE,0,2196.1839,477.01514
2019-03-22T10:54,32.8806432,-117.2371383,FALSE,0,2196.1839,477.01514
