time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-03-22_ioT09:55,32.8700707,-117.2172744,TRUE,1,0,2631.2898,Inside,building
2019-03-22_ioT09:56,32.870087195045016,-117.21733783527478,TRUE,1,6.2018386,2625.4565,Inside,building
2019-03-22_ioT09:57,32.870087195045016,-117.21733783527478,FALSE,1,6.2018386,2625.4565,Inside,building
2019-03-22_ioT09:58,32.870087195045016,-117.21733783527478,FALSE,1,6.2018386,2625.4565,Inside,building
2019-03-22_ioT09:59,32.870087195045016,-117.21733783527478,FALSE,1,6.2018386,2625.4565,Inside,building
2019-03-22_ioT10:00,32.870087195045016,-117.21733783527478,FALSE,1,6.2018386,2625.4565,Inside,building
2019-03-22_ioT10:01,32.870087195045016,-117.21733783527478,FALSE,1,6.2018386,2625.4565,Inside,building
2019-03-22_ioT10:02,32.87003596299186,-117.21721000611215,TRUE,1,7.1475164,2638.4171,Inside,building
2019-03-22_ioT10:03,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171,Inside,building
2019-03-22_ioT10:04,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171,Inside,building
2019-03-22_ioT10:05,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171,Inside,building
2019-03-22_ioT10:06,32.87003596299186,-117.21721000611215,FALSE,1,7.1475164,2638.4171,Inside,building
2019-03-22_ioT10:07,32.871055600000005,-117.2187341,TRUE,0,174.86634,2456.5104,Outside,highway
2019-03-22_ioT10:08,32.8711485,-117.2180882,TRUE,0,141.91356,2498.938,Outside,place
2019-03-22_ioT10:09,32.8708961,-117.21835379999999,TRUE,0,136.32998,2495.5712,Outside,place
2019-03-22_ioT10:10,32.871043900000004,-117.21934180000001,TRUE,0,221.33733,2412.165,Outside,amenity
2019-03-22_ioT10:11,32.871043900000004,-117.21934180000001,FALSE,0,221.33733,2412.165,Outside,amenity
2019-03-22_ioT10:12,32.87214654480753,-117.22629692465489,TRUE,0,873.67395,1848.0555,Outside,place
2019-03-22_ioT10:13,32.871833145363716,-117.23279825350329,TRUE,0,1462.9903,1533.5362,Outside,place
2019-03-22_ioT10:14,32.8758202,-117.23361829999999,TRUE,0,1654.8378,1106.0221,Outside,amenity
2019-03-22_ioT10:15,32.8758202,-117.23361829999999,FALSE,0,1654.8378,1106.0221,Outside,amenity
2019-03-22_ioT10:16,32.87726399919273,-117.23543915984705,TRUE,0,1875.5057,882.68928,Outside,amenity
2019-03-22_ioT10:17,32.877964,-117.23620159999999,TRUE,0,1973.5047,781.37024,Outside,amenity
2019-03-22_ioT10:18,32.877964,-117.23620159999999,FALSE,0,1973.5047,781.37024,Outside,amenity
2019-03-22_ioT10:19,32.8784644,-117.2372298,TRUE,0,2084.2618,692.97557,Inside,building
2019-03-22_ioT10:20,32.8794473,-117.23758490000002,TRUE,0,2164.433,578.96728,Inside,building
2019-03-22_ioT10:21,32.8801674,-117.2371254,TRUE,0,2167.2975,523.63839,Inside,building
2019-03-22_ioT10:22,32.8801674,-117.2371254,FALSE,0,2167.2975,523.63839,Inside,building
2019-03-22_ioT10:23,32.8810279,-117.2370274,TRUE,0,2210.7237,446.75757,Outside,highway
2019-03-22_ioT10:24,32.8807988,-117.2370723,TRUE,0,2200.311,465.57738,Outside,highway
2019-03-22_ioT10:25,32.8807988,-117.2370723,FALSE,0,2200.311,465.57738,Outside,highway
2019-03-22_ioT10:26,32.8807988,-117.2370723,FALSE,0,2200.311,465.57738,Outside,highway
2019-03-22_ioT10:27,32.8806233,-117.2371919,TRUE,0,2199.2323,476.36408,Outside,highway
2019-03-22_ioT10:28,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408,Outside,highway
2019-03-22_ioT10:29,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408,Outside,highway
2019-03-22_ioT10:30,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408,Outside,highway
2019-03-22_ioT10:31,32.8806233,-117.2371919,FALSE,0,2199.2323,476.36408,Outside,highway
2019-03-22_ioT10:32,32.88064310000001,-117.23713909999998,TRUE,0,2196.241,476.98619,Outside,highway
2019-03-22_ioT10:33,32.88064310000001,-117.23713909999998,FALSE,0,2196.241,476.98619,Outside,highway
2019-03-22_ioT10:34,32.88064310000001,-117.23713909999998,FALSE,0,2196.241,476.98619,Outside,highway
2019-03-22_ioT10:35,32.88064310000001,-117.23713909999998,FALSE,0,2196.241,476.98619,Outside,highway
2019-03-22_ioT10:36,32.88064310000001,-117.23713909999998,FALSE,0,2196.241,476.98619,Outside,highway
2019-03-22_ioT10:37,32.8806463,-117.23709509999999,TRUE,0,2192.9621,478.81173,Outside,highway
2019-03-22_ioT10:38,32.8806463,-117.23709509999999,FALSE,0,2192.9621,478.81173,Outside,highway
2019-03-22_ioT10:39,32.8806463,-117.23709509999999,FALSE,0,2192.9621,478.81173,Outside,highway
2019-03-22_ioT10:40,32.8806463,-117.23709509999999,FALSE,0,2192.9621,478.81173,Outside,highway
2019-03-22_ioT10:41,32.8806463,-117.23709509999999,FALSE,0,2192.9621,478.81173,Outside,highway
2019-03-22_ioT10:42,32.880637300000004,-117.23716200000001,TRUE,0,2197.7029,476.44253,Outside,highway
2019-03-22_ioT10:43,32.880637300000004,-117.23716200000001,FALSE,0,2197.7029,476.44253,Outside,highway
2019-03-22_ioT10:44,32.880637300000004,-117.23716200000001,FALSE,0,2197.7029,476.44253,Outside,highway
2019-03-22_ioT10:45,32.880637300000004,-117.23716200000001,FALSE,0,2197.7029,476.44253,Outside,highway
2019-03-22_ioT10:46,32.880637300000004,-117.23716200000001,FALSE,0,2197.7029,476.44253,Outside,highway
2019-03-22_ioT10:47,32.8806103,-117.23715490000001,TRUE,0,2195.5388,479.36282,Outside,highway
2019-03-22_ioT10:48,32.8806103,-117.23715490000001,FALSE,0,2195.5388,479.36282,Outside,highway
2019-03-22_ioT10:49,32.8806103,-117.23715490000001,FALSE,0,2195.5388,479.36282,Outside,highway
2019-03-22_ioT10:50,32.8806103,-117.23715490000001,FALSE,0,2195.5388,479.36282,Outside,highway
2019-03-22_ioT10:51,32.8806103,-117.23715490000001,FALSE,0,2195.5388,479.36282,Outside,highway
2019-03-22_ioT10:52,32.880643199999994,-117.2371383,TRUE,0,2196.1839,477.01514,Outside,highway
2019-03-22_ioT10:53,32.880643199999994,-117.2371383,FALSE,0,2196.1839,477.01514,Outside,highway
2019-03-22_ioT10:54,32.880643199999994,-117.2371383,FALSE,0,2196.1839,477.01514,Outside,highway
2019-03-22_ioT10:55,32.880643199999994,-117.2371383,FALSE,0,2196.1839,477.01514,Outside,highway
2019-03-22_ioT10:56,32.880643199999994,-117.2371383,FALSE,0,2196.1839,477.01514,Outside,highway
2019-03-22_ioT10:57,32.880642,-117.2371395,TRUE,0,2196.2071,477.0718,Outside,highway
2019-03-22_ioT10:58,32.880642,-117.2371395,FALSE,0,2196.2071,477.0718,Outside,highway
2019-03-22_ioT10:59,32.880642,-117.2371395,FALSE,0,2196.2071,477.0718,Outside,highway
2019-03-22_ioT11:00,32.880642,-117.2371395,FALSE,0,2196.2071,477.0718,Outside,highway
2019-03-22_ioT11:01,32.880642,-117.2371395,FALSE,0,2196.2071,477.0718,Outside,highway
2019-03-22_ioT11:02,32.880628200000004,-117.23711180000001,TRUE,0,2193.2008,479.7212,Outside,highway
2019-03-22_ioT11:03,32.880628200000004,-117.23711180000001,FALSE,0,2193.2008,479.7212,Outside,highway
2019-03-22_ioT11:04,32.880628200000004,-117.23711180000001,FALSE,0,2193.2008,479.7212,Outside,highway
2019-03-22_ioT11:05,32.880628200000004,-117.23711180000001,FALSE,0,2193.2008,479.7212,Outside,highway
2019-03-22_ioT11:06,32.880628200000004,-117.23711180000001,FALSE,0,2193.2008,479.7212,Outside,highway
2019-03-22_ioT11:07,32.8806358,-117.23712739999999,TRUE,0,2194.8837,478.24497,Outside,highway
2019-03-22_ioT11:08,32.8806358,-117.23712739999999,FALSE,0,2194.8837,478.24497,Outside,highway
2019-03-22_ioT11:09,32.8806358,-117.23712739999999,FALSE,0,2194.8837,478.24497,Outside,highway
2019-03-22_ioT11:10,32.8806358,-117.23712739999999,FALSE,0,2194.8837,478.24497,Outside,highway
2019-03-22_ioT11:11,32.8806358,-117.23712739999999,FALSE,0,2194.8837,478.24497,Outside,highway
2019-03-22_ioT11:12,32.8806178,-117.237169,TRUE,0,2197.0974,477.97497,Outside,highway
2019-03-22_ioT11:13,32.880625300000005,-117.23719309999998,TRUE,0,2199.4457,476.11555,Outside,highway
2019-03-22_ioT11:14,32.880625300000005,-117.23719309999998,FALSE,0,2199.4457,476.11555,Outside,highway
2019-03-22_ioT11:15,32.880625300000005,-117.23719309999998,FALSE,0,2199.4457,476.11555,Outside,highway
2019-03-22_ioT11:16,32.880625300000005,-117.23719309999998,FALSE,0,2199.4457,476.11555,Outside,highway
2019-03-22_ioT11:17,32.8806182,-117.2371858,TRUE,0,2198.448,477.14134,Outside,highway
2019-03-22_ioT11:18,32.8806182,-117.2371858,FALSE,0,2198.448,477.14134,Outside,highway
2019-03-22_ioT11:19,32.8806182,-117.2371858,FALSE,0,2198.448,477.14134,Outside,highway
2019-03-22_ioT11:20,32.8806182,-117.2371858,FALSE,0,2198.448,477.14134,Outside,highway
2019-03-22_ioT11:21,32.8806182,-117.2371858,FALSE,0,2198.448,477.14134,Outside,highway
2019-03-22_ioT11:22,32.8806103,-117.2371888,TRUE,0,2198.2166,477.75797,Outside,highway
2019-03-22_ioT11:23,32.8806103,-117.2371888,FALSE,0,2198.2166,477.75797,Outside,highway
2019-03-22_ioT11:24,32.8806103,-117.2371888,FALSE,0,2198.2166,477.75797,Outside,highway
2019-03-22_ioT11:25,32.8806103,-117.2371888,FALSE,0,2198.2166,477.75797,Outside,highway
2019-03-22_ioT11:26,32.8806103,-117.2371888,FALSE,0,2198.2166,477.75797,Outside,highway
2019-03-22_ioT11:27,32.8806369,-117.23714469999999,TRUE,0,2196.314,477.30846,Outside,highway
2019-03-22_ioT11:28,32.8806339,-117.23709009999999,TRUE,0,2191.8289,480.23175,Outside,highway
2019-03-22_ioT11:29,32.8806339,-117.23709009999999,FALSE,0,2191.8289,480.23175,Outside,highway
2019-03-22_ioT11:30,32.8806339,-117.23709009999999,FALSE,0,2191.8289,480.23175,Outside,highway
2019-03-22_ioT11:31,32.8806339,-117.23709009999999,FALSE,0,2191.8289,480.23175,Outside,highway
2019-03-22_ioT11:32,32.8806609,-117.2371439,TRUE,0,2197.6794,475.05919,Outside,highway
2019-03-22_ioT11:33,32.8806609,-117.2371439,FALSE,0,2197.6794,475.05919,Outside,highway
2019-03-22_ioT11:34,32.8806609,-117.2371439,FALSE,0,2197.6794,475.05919,Outside,highway
